Experiment,Generator,Run,Duration_Seconds,Triples_Reported,Triples_Measured,Throughput_Reported,Throughput_Measured,Tool,Tool_Version,RDF_Triples,RDF_Subjects,RDF_Predicates,RDF_Objects,RDF_Classes,RDF_Mean_Outdegree,RDF_Mean_Indegree,RDF_Coherence,RDF_Coherence_TypeIncl,RDF_Type_Coverage_Avg,Triple_Validity_Pct,Shape_Translation_Loss_Pct,Schema_Constraints,Constraints_Represented,Valid_Triples,Generated_Triples,FHIR_Resource_Instances,FHIR_Resource_Types,FHIR_R4_Coverage_Pct,FHIR_Triples_Per_Resource,FHIR_Value_Literals,FHIR_Literals_Per_Resource,FHIR_Missing_ResourceType_Pct,FHIR_Malformed_Primitives,FHIR_Blank_Nodes,FHIR_Total_Nodes,FHIR_Anonymity_Index,Params,Notes,Error
gaia_high,gaia,1,18.8838,,16948133.0,,897495.895953145,GAIA OWLGenerator,3.1,16948133.0,4730095.0,32.0,1437982.0,50.0,3.5830428352918915,11.786053650184773,0.0651430753614287,0.39052184709351917,0.1873347431155408,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,2,18.6858,,16948092.0,,907003.8210833895,GAIA OWLGenerator,3.1,16948092.0,4730095.0,32.0,1437941.0,50.0,3.5830341673898727,11.78636119284449,0.06517116999464544,0.39053968167873393,0.187405541554846,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,3,21.5817,,16947636.0,,785278.0828201671,GAIA OWLGenerator,3.1,16947636.0,4730095.0,32.0,1437485.0,50.0,3.582937763406443,11.789782849907999,0.06518516742744208,0.39053999483905333,0.18738688112856136,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,4,19.7025,,16947614.0,,860175.8152518716,GAIA OWLGenerator,3.1,16947614.0,4730095.0,32.0,1437463.0,50.0,3.5829331123370673,11.78994798474813,0.06513796957389763,0.390519917069343,0.1874140014089639,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,5,18.2702,,16947680.0,,927613.2718853652,GAIA OWLGenerator,3.1,16947680.0,4730095.0,32.0,1437529.0,50.0,3.5829470655451954,11.789452595391118,0.06504134737807403,0.3904672560833814,0.1873209739629326,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,6,19.0354,,16947933.0,,890337.6340922703,GAIA OWLGenerator,3.1,16947933.0,4730095.0,32.0,1437782.0,50.0,3.583000552843019,11.787554024184473,0.06514400833039387,0.3905233359785459,0.18735696685147635,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,7,16.9996,,16947078.0,,996910.397891715,GAIA OWLGenerator,3.1,16947078.0,4730095.0,32.0,1436927.0,50.0,3.5828197953740886,11.793972832301154,0.06511629801971182,0.3905031931690893,0.18735918823833975,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,8,17.1884,,16947807.0,,986002.5947732191,GAIA OWLGenerator,3.1,16947807.0,4730095.0,32.0,1437656.0,50.0,3.5829739149002293,11.788499474144023,0.06515661015674326,0.39052648327611206,0.1873900383044973,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,9,17.3799,,16946652.0,,975071.8933940933,GAIA OWLGenerator,3.1,16946652.0,4730095.0,32.0,1436501.0,50.0,3.58272973375799,11.797173827237154,0.06512072403409908,0.39050219737421443,0.18735094750614834,,,,,,,,,,,,,,,,,,{},,
gaia_high,gaia,10,17.0624,,16947810.0,,993284.0632033008,GAIA OWLGenerator,3.1,16947810.0,4730095.0,32.0,1437659.0,50.0,3.5829745491369622,11.788476961504779,0.06514050663056652,0.39052538434678224,0.18743826028318303,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,1,15.2694,,10896545.0,,713619.7231063434,GAIA OWLGenerator,3.1,10896545.0,4730095.0,32.0,1436394.0,50.0,2.303663034251955,7.586041852026672,0.0620561738263398,0.32413149487323434,0.19263595233397093,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,2,15.0385,,10898562.0,,724710.7091797718,GAIA OWLGenerator,3.1,10898562.0,4730095.0,32.0,1438411.0,50.0,2.3040894527488347,7.576806628981564,0.06213776553797254,0.3241935617528452,0.19275638977818046,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,3,15.5786,,10898539.0,,699583.9805887564,GAIA OWLGenerator,3.1,10898539.0,4730095.0,32.0,1438388.0,50.0,2.3040845902672147,7.576911792923745,0.06211568236693505,0.3241810647780743,0.19271863286016308,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,4,15.7299,,10900761.0,,692996.2046802586,GAIA OWLGenerator,3.1,10900761.0,4730095.0,32.0,1440610.0,50.0,2.304554348274189,7.566767549857352,0.06216793265617776,0.32422750247474574,0.1927865790664116,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,5,15.6739,,10900043.0,,695426.3457084708,GAIA OWLGenerator,3.1,10900043.0,4730095.0,32.0,1439892.0,50.0,2.304402554282736,7.570042058709959,0.062161566102673683,0.32421830554167436,0.19278271343333667,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,6,16.5187,,10898379.0,,659760.0900797278,GAIA OWLGenerator,3.1,10898379.0,4730095.0,32.0,1438228.0,50.0,2.3040507643081165,7.577643461259272,0.06210499651210832,0.3241735817472418,0.1927018316386456,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,7,16.1263,,10898468.0,,675819.49982327,GAIA OWLGenerator,3.1,10898468.0,4730095.0,32.0,1438317.0,50.0,2.3040695799978645,7.577236450657261,0.062116643046795976,0.3241809503942908,0.19272098587872077,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,8,18.6905,,10898655.0,,583112.0087745112,GAIA OWLGenerator,3.1,10898655.0,4730095.0,32.0,1438504.0,50.0,2.3041091140875607,7.576381435157636,0.06211762159801033,0.3241824991785377,0.19272082374576327,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,9,15.8805,,10898645.0,,686291.0487705048,GAIA OWLGenerator,3.1,10898645.0,4730095.0,32.0,1438494.0,50.0,2.304106999965117,7.576427152285654,0.062106890084766615,0.32417692788686425,0.1927024638209336,,,,,,,,,,,,,,,,,,{},,
gaia_low,gaia,10,15.6813,,10899138.0,,695040.4622065773,GAIA OWLGenerator,3.1,10899138.0,4730095.0,32.0,1438987.0,50.0,2.304211226201588,7.574174054386871,0.0621347358669953,0.3241967437017325,0.19274549478170408,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,1,18.1585,9025488.0,9028100.0,497039.29289313545,497183.13737368176,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,2,18.0382,9025488.0,9028100.0,500354.1373307758,500498.9411360335,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,3,18.7706,9025488.0,9028100.0,480831.0869125121,480970.24069555575,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,4,19.4206,9025488.0,9028100.0,464737.8556790212,464872.352038557,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,5,22.5165,9025488.0,9028100.0,400838.8515088935,400954.85532831476,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,6,18.8012,9025488.0,9028100.0,480048.50754207175,480187.4348445844,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,7,19.0261,9025488.0,9028100.0,474374.0440762952,474511.3291741345,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,8,18.939,9025488.0,9028100.0,476555.6787581182,476693.59522678074,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,9,19.5171,9025488.0,9028100.0,462440.0141414452,462573.84549958754,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_lubm,lubm,10,18.9773,9025488.0,9028100.0,475593.89375727845,475731.53188282845,LUBM UBA,,9028100.0,1419936.0,18.0,1056705.0,15.0,6.358103463818088,8.543633275133551,0.9422751103463849,0.9503704527562902,0.9164049979577615,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,1,15.8871,,7945.0,,500.0912690170012,LEMMING / SimplexKG,,7945.0,2000.0,14.0,2478.0,13.0,3.9725,3.2062146892655368,0.570416923652748,0.8229064701253334,0.5047504852257207,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,2,15.6522,,9870.0,,630.5822823628627,LEMMING / SimplexKG,,9870.0,2000.0,13.0,4057.0,13.0,4.935,2.43283214197683,0.4020304074638849,0.668095395878696,0.4270018474633312,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,3,15.6976,,9927.0,,632.389664662114,LEMMING / SimplexKG,,9927.0,2000.0,13.0,4148.0,13.0,4.9635,2.393201542912247,0.4054209688820763,0.6600261276127612,0.4226758993375081,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,4,15.4797,,9974.0,,644.3277324495953,LEMMING / SimplexKG,,9974.0,2000.0,13.0,4181.0,12.0,4.987,2.3855536952882086,0.41007734788493727,0.6592982142857143,0.4197143218150814,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,5,15.5905,,10580.0,,678.6183894038036,LEMMING / SimplexKG,,10580.0,2000.0,16.0,4227.0,12.0,5.29,2.5029571800331203,0.3705097904313715,0.5570208624708625,0.4447012251878488,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,6,15.644,,9866.0,,630.6571209409358,LEMMING / SimplexKG,,9866.0,2000.0,12.0,4102.0,13.0,4.933,2.4051682106289616,0.41042911758287565,0.6662084582634906,0.4376611080721889,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,7,15.8714,,9977.0,,628.614993006288,LEMMING / SimplexKG,,9977.0,2000.0,13.0,4153.0,12.0,4.9885,2.4023597399470265,0.4076415351977954,0.6609744047619048,0.4091974914524931,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,8,15.7186,,9961.0,,633.7078365757765,LEMMING / SimplexKG,,9961.0,2000.0,13.0,4190.0,13.0,4.9805,2.377326968973747,0.4086943460185479,0.6657302927794732,0.43063972047327426,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,9,15.9469,,9959.0,,624.5100928707147,LEMMING / SimplexKG,,9959.0,2000.0,13.0,4161.0,13.0,4.9795,2.393415044460466,0.4104649061163054,0.658035021918372,0.4476988562600038,,,,,,,,,,,,,,,,,,{},,
ref_simplexkg,lemming,10,15.5389,,9962.0,,641.1007214152868,LEMMING / SimplexKG,,9962.0,2000.0,13.0,4203.0,13.0,4.981,2.370211753509398,0.4019831813513288,0.6631184649785841,0.4307606293414513,,,,,,,,,,,,,,,,,,{},,
