Generator,Run_ID,Perf_Throughput,Perf_Total_Triples,Perf_Execution_Time,RDF_Triples,RDF_Subjects,RDF_Predicates,RDF_Objects,RDF_Classes,RDF_Mean_Outdegree,RDF_Mean_Indegree,RDF_Coherence,RDF_Type_Coverage_Avg
BSBM,run_1,15188.74,40377.0,2.658,40377.0,4174.0,40.0,11012.0,27.0,9.67345471969334,3.666636396658191,0.9611862461381044,0.8687319026567432
BSBM,run_2,14712.47,40377.0,2.744,40377.0,4174.0,40.0,11012.0,27.0,9.67345471969334,3.666636396658191,0.9611862461381044,0.8687319026567432
BSBM,run_3,14851.92,40377.0,2.719,40377.0,4174.0,40.0,11012.0,27.0,9.67345471969334,3.666636396658191,0.9611862461381044,0.8687319026567432
BSBM,run_4,15320.53,40377.0,2.635,40377.0,4174.0,40.0,11012.0,27.0,9.67345471969334,3.666636396658191,0.9611862461381044,0.8687319026567432
GAIA,run_1,4338.225470732936,1290.0,0.2973566055297851,1841.0,525.0,29.0,293.0,50.0,3.506666666666667,6.283276450511946,0.4972987186842606,0.7466380398671096
GAIA,run_2,4159.240634188527,1290.0,0.3101527690887451,1834.0,525.0,29.0,286.0,50.0,3.493333333333333,6.4125874125874125,0.4575735481608973,0.681544448399515
GAIA,run_3,4221.93970454666,1290.0,0.305546760559082,1840.0,525.0,31.0,292.0,50.0,3.5047619047619047,6.301369863013699,0.4512215528781793,0.6989615171650055
GAIA,run_4,4512.667440650146,1290.0,0.2858619689941406,1842.0,525.0,30.0,294.0,50.0,3.5085714285714285,6.26530612244898,0.449035263369069,0.6841103152889063
LINKGEN,run_1,1041.33,,2.881,2243763.0,247611.0,445.0,742.0,418.0,9.061645080388187,3023.9393530997304,0.421486524463313,0.9800584937882574
LINKGEN,run_2,1004.47,,2.987,2243953.0,247611.0,445.0,742.0,418.0,9.062412413018809,3024.1954177897574,0.421486524463313,0.9800584937882574
LINKGEN,run_3,1002.64,,2.992,2244109.0,247611.0,445.0,742.0,418.0,9.063042433494472,3024.4056603773583,0.421486524463313,0.9800584937882574
LINKGEN,run_4,1108.17,,2.707,2244257.0,247611.0,445.0,742.0,418.0,9.063640145227795,3024.6051212938005,0.421486524463313,0.9800584937882574
LUBM,run_1,226271.31,103074.0,0.455533,1272953.0,207615.0,18.0,155837.0,15.0,6.131315174722443,8.168490153172867,0.9485154012440717,0.9482765721213917
LUBM,run_2,148022.4,103074.0,0.696341,1272953.0,207615.0,18.0,155837.0,15.0,6.131315174722443,8.168490153172867,0.9485154012440717,0.9482765721213917
LUBM,run_3,145681.06,103074.0,0.707532,1272953.0,207615.0,18.0,155837.0,15.0,6.131315174722443,8.168490153172867,0.9485154012440717,0.9482765721213917
LUBM,run_4,146220.09,103074.0,0.704924,1272953.0,207615.0,18.0,155837.0,15.0,6.131315174722443,8.168490153172867,0.9485154012440717,0.9482765721213917
PYGRAFT,run_1,1203.96,4716.0,3.92,9595.0,2307.0,27.0,1841.0,40.0,4.159081057650629,5.211841390548615,0.51184421182266,0.6119074912674509
PYGRAFT,run_2,1307.18,4752.0,3.64,9613.0,2325.0,27.0,2013.0,40.0,4.134623655913979,4.775459513164432,0.4779527679335205,0.5895905697071273
PYGRAFT,run_3,1298.5,4468.0,3.44,9471.0,2183.0,27.0,1823.0,40.0,4.33852496564361,5.1952825013713655,0.5031187657212247,0.6098055908446375
PYGRAFT,run_4,1334.13,4640.0,3.48,9557.0,2269.0,27.0,1733.0,40.0,4.21198765976201,5.514714368147721,0.5681858019281332,0.6577267056427722
RDFGRAPHGEN,run_1,168.84,367.0,2.174,426.0,153.0,20.0,241.0,4.0,2.784313725490196,1.7676348547717842,0.3652349828820417,0.656584062196307
RDFGRAPHGEN,run_2,179.18,364.0,2.031,418.0,149.0,20.0,231.0,4.0,2.8053691275167787,1.809523809523809,0.3723234260147012,0.6563726745178358
RDFGRAPHGEN,run_3,168.09,377.0,2.243,444.0,162.0,20.0,247.0,4.0,2.740740740740741,1.7975708502024292,0.3543503821281599,0.6498704908899083
RDFGRAPHGEN,run_4,180.59,372.0,2.06,438.0,159.0,20.0,245.0,4.0,2.754716981132076,1.7877551020408162,0.3559448936807427,0.6551053113553114
RDFGRAPHGEN_LUBM,run_1,826.63,1990.0,2.407,2000.0,530.0,18.0,960.0,15.0,3.7735849056603774,2.083333333333333,0.9981481481481478,0.9966666666666666
RDFGRAPHGEN_LUBM,run_2,854.68,1990.0,2.328,2000.0,530.0,18.0,960.0,15.0,3.7735849056603774,2.083333333333333,0.9981481481481478,0.9966666666666666
RDFGRAPHGEN_LUBM,run_3,888.94,1990.0,2.239,2000.0,530.0,18.0,960.0,15.0,3.7735849056603774,2.083333333333333,0.998148148148148,0.9966666666666666
RDFGRAPHGEN_LUBM,run_4,884.5,1990.0,2.25,2000.0,530.0,18.0,960.0,15.0,3.7735849056603774,2.083333333333333,0.998148148148148,0.9966666666666666
RUDOFGENERATE,run_1,25802.882085877347,1729.0,0.0670080184936523,1729.0,350.0,11.0,764.0,3.0,4.94,2.263089005235602,0.7559183673469387,0.7714285714285714
RUDOFGENERATE,run_2,14301.302930207778,1728.0,0.1208281517028808,1728.0,350.0,11.0,771.0,3.0,4.937142857142857,2.2412451361867705,0.7559183673469387,0.7714285714285714
RUDOFGENERATE,run_3,17452.95229655601,1728.0,0.0990090370178222,1728.0,350.0,11.0,747.0,3.0,4.937142857142857,2.3132530120481927,0.7559183673469387,0.7714285714285714
RUDOFGENERATE,run_4,18173.4687677976,1727.0,0.0950286388397216,1727.0,350.0,11.0,751.0,3.0,4.934285714285714,2.299600532623169,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHACL,run_1,29087.483342764608,1728.0,0.05940699577331543,1728.0,350.0,11.0,756.0,3.0,4.937142857142857,2.2857142857142856,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHACL,run_2,17702.150820792598,1729.0,0.0976717472076416,1729.0,350.0,11.0,763.0,3.0,4.94,2.2660550458715596,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHACL,run_3,17876.30367240691,1729.0,0.09672021865844727,1729.0,350.0,11.0,774.0,3.0,4.94,2.2338501291989665,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHACL,run_4,17977.68418441634,1728.0,0.09611916542053223,1728.0,350.0,11.0,760.0,3.0,4.937142857142857,2.2736842105263158,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHEX,run_1,29001.673366210103,1726.0,0.05951380729675293,1726.0,350.0,11.0,762.0,3.0,4.9314285714285715,2.2650918635170605,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHEX,run_2,17640.92723117252,1728.0,0.09795403480529785,1728.0,350.0,11.0,770.0,3.0,4.937142857142857,2.244155844155844,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHEX,run_3,18213.400536149962,1730.0,0.0949850082397461,1730.0,350.0,11.0,760.0,3.0,4.942857142857143,2.276315789473684,0.7559183673469387,0.7714285714285714
RUDOFGENERATE_LUBM_SHEX,run_4,17663.5806006373,1730.0,0.09794163703918457,1730.0,350.0,11.0,764.0,3.0,4.942857142857143,2.264397905759162,0.7559183673469387,0.7714285714285714
